id,publisher,title,link,publish_details,read_time,content
0,mint,India's economy likely moderated to 7% in Q2; experts expect further moderation,https://www.livemint.com/economy/india-q2-gdp-preview-indias-economy-likely-moderated-to-about-7-in-q2-experts-expect-further-moderation-ahead-11700645006556.html,22 Nov 2023,,"The Indian economy continues to rank among the world's fastest-growing large economies. Forecasts indicate sustained momentum in the upcoming financial year. Nevertheless, factors such as the global economic slowdown, insufficient rainfall, and a decrease in government capital expenditure might lead to a moderation in the country's growth trajectory.

Experts believe India's Q2FY24 GDP expanded in the range of 6.8-7.1 per cent, lower than the 7.8 per cent in Q1FY24.

India's Q2FY24 GDP print is expected on Thursday, November 30.

Analysts at Barclays believe India’s GDP in Q2FY24 expanded by 6.8 per cent year-on-year, slower than the 7.8 per cent print in Q1FY24, but still showing robust sequential growth.

""Underlying growth trends continue to look robust in India, with activity underpinned by domestic consumption, high levels of state-led capex, and strong growth in the utilities sectors,"" Barclays said in a report.

Services will continue to be the largest contributor to growth in Q2, despite slower expected growth in the financial services and 'trade hotels and transport' categories, Barclays believes.

""Growth in services is likely to moderate from double-digit seen in Q1FY24, but still strong nevertheless (nearly 7.7 per cent), according to our estimates,"" said Barclays.

Also Read: India's Q2 GDP number will surprise everyone: RBI Governor Shaktikanta Das

For FY23-24, Barclays forecasts GDP growth of 6.3 per cent, but sees upside risks, emanating largely from very strong consumption demand, which is visible across a variety of high-frequency data.

""Credit growth, electricity consumption, and mobility indicators all paint a picture of economic resilience, hence we believe that the domestic economy will continue to drive growth,"" said Barclays.

SBI Research forecasts that the GDP growth for the Q2FY24 should be at 6.9-7.1 per cent.

""We forecast that the quarterly GDP growth for the Q2FY24 should be at 6.9-7.1 per cent, though there could be still a forecasting bias. The mean growth rate thus comes at around 7 per cent for Q2FY24. This will firmly push up the FY24 growth rate over RBI projections at 6.5 per cent,"" said SBI Research in its Ecowrap note.

Also Read: Morgan Stanley sees India GDP growth near 6.5% in FY24 and FY25

SBI Research observed in its report that the domestic economic activity in Q2 has been supported by robust agricultural performance, sustained buoyancy in services, strong capital expenditure by the Centre (49 per cent of budgeted) and states (32 per cent of budgeted) and a robust pick up in consumption expenditure.

ICRA has projected the year-on-year growth of the GDP to moderate sequentially to 7 per cent in Q2FY24.

""The GVA growth is estimated to ease to 6.8 per cent in Q2 from 7.8 per cent in Q1, driven by the services sector (to +8.2 per cent from +10.3 per cent) and agriculture (to +1 per cent from +3.5 per cent), amidst an improvement in the industry (to +6.6 per cent from +5.5 per cent),"" said ICRA.

Also Read: India’s GDP likely grew 7% in September quarter, surpassing RBI’s projections: ICRA estimates

Further moderation ahead

Experts remain positive about India's growth outlook but they believe the economy will see further moderation in the coming quarters.

Sujan Hajra, Chief Economist at Anand Rathi Shares & Stock Brokers expects the GDP to grow at 6.9 per cent in Q2 but it will moderate going ahead.

""Going ahead, we will see a drag coming from a slowdown in the US. Further, we think lower reservoir levels and volatile food inflation need to be watched out for. Finally, the uncertainty around the election will also pressure private investments in the upcoming quarters,"" said Hajra.

Also Read: Moody's retains India 2023 growth at 6.7% on strong domestic demand

Kapil Gupta, Executive Director at Nuvama Institutional Equities believes Q2 GDP could be closer to 7 per cent, which will be better than RBI’s estimates.

Gupta pointed out that better-than-expected earnings of the corporates during the quarter would aid the GDP growth, although growth rates will decelerate in the second half of the current financial year (H2FY24).

Gupta believes in the next year, India’s outlook will be shaped by global factors and if the US economy goes into a recession, it will have a bearing on India’s growth momentum. On the domestic side, government capex, too, could moderate and tax revenue growth could normalise from elevated levels.

Further, the lagged impact of RBI’s tightening and the latest RBI announcement regarding the increase of risk weights for consumer loans could weigh on lending growth.

""Unless private capex accelerates and broadens, overall growth momentum could moderate. That said, India’s macro vulnerability remains low. Current account deficit is largely contained and the balance sheet of the domestic banking system is in a very good shape, which should work to limit the downside,"" Gupta said.

Also Read: India set for strong growth, macro-stability in FY24

Disclaimer: The views and recommendations above are those of individual analysts, experts and broking companies, not of Mint. We advise investors to check with certified experts before making any investment decisions.

ICRA More Information

Milestone Alert!Livemint tops charts as the fastest growing news website in the world 🌏 Click here to know more."
1,mint,"India set for strong growth, macro-stability in FY24",https://www.livemint.com/economy/india-set-for-strong-growth-macro-stability-in-fy24-11700581385781.html,21 Nov 2023,,"New Delhi: India is expected to end FY24 with strong growth and macroeconomic stability, although inflation and the impact of external factors on the rupee could pose risks, the finance ministry said in its latest monthly economic review released on Tuesday.

In its economic review for October, the ministry said a fuller transmission of the monetary policy may also temper domestic demand, although the review noted India’s growth in FY24 should continue to be a positive outlier compared to other major economies.

At its latest rate-setting bi-monthly meeting in October, the Reserve Bank of India (RBI) kept the repo rate unchanged for the fourth consecutive time at 6.5%.

A higher repo rate makes debt and debt-servicing more expensive, thus slowing down economic activity.

The rupee has depreciated 1.81% against the dollar in the last 12 months, making foreign currency borrowings and imports more expensive.

The latest economic review said policy measures by the government and the transmission of monetary policy tightening has helped rein in inflation.

“Inflationary pressures have also moderated. Consumer price index (CPI) declined in October 2023, mainly due to the dip in core (non-food, non-fuel) inflation,"" the review said.

“The trend in Wholesale Price Index (WPI) also suggests that the cost of principal inputs to production in the economy has declined overall.""

Retail inflation fell to a four-month low of 4.87% in October as food prices and core inflation eased, thus remaining within the RBI’s comfort zone of 2-6% for the second consecutive month.

Meanwhile, wholesale inflation stayed in the deflationary zone at -0.52% in October as prices eased across food, electricity and textiles.

“On balance, however, India’s growth experience in FY24 will continue to be a positive outlier as compared to other major economies,"" the review said.

“In the medium term, thanks to the sustained focus on public investment in infrastructure and advances in digital public infrastructure, India can look ahead to the prospect of a longer economic and financial cycle than in the past, subject to global factors,"" it added.

“The central government is on track to achieve the budgeted deficit target for the current fiscal year as well,"" the review said.

“The government’s emphasis on capital expenditure has continued during the year as well, imparting an impetus to private investment. The recent steep and rapid decline in global crude oil prices removes an important source of potential impact on public finances as well,"" it added.

The government expects to maintain the fiscal deficit target of 5.9% of gross domestic product.

In September, Fitch Ratings retained its growth forecast for the current fiscal at 6.3%, saying the Indian economy continues to show resilience despite tighter monetary policy and export weaknesses. It also expects India to maintain 6.5% GDP growth until FY25.

S&P Global has predicted 6% GDP growth for FY24, citing a slowing world economy, rising risk of subnormal monsoons and the delayed effect of a rate hike. At the same time, it estimated 6-7.1% GDP growth during 2024-2026, calling India’s growth prospects “strong"".

In comparison, major global economies are expected to grow at a much slower pace. The United States, the world’s largest economy, is expected to grow at 2.1% annually during calendar year 2024, according to Goldman Sachs.

The International Monetary Fund (IMF) expects China, the world’s second largest economy, to grow at 4.6% during calendar year 2024.

Meanwhile, buoyant tax collections this year have created more fiscal space for spending. Tax collections are stronger than expected, with total government revenues expected to substantially exceed budgeted estimates amid increased economic activity.

Milestone Alert!Livemint tops charts as the fastest growing news website in the world 🌏 Click here to know more."
2,mint,"India’s GDP likely grew 7% in September quarter, surpassing RBI’s projections",https://www.livemint.com/economy/indias-gdp-likely-grew-7-in-september-quarter-surpassing-rbi-s-projections-icra-11700562711009.html,21 Nov 2023,,"The Indian economy is anticipated to have expanded by 7% during the second quarter of the current fiscal year, surpassing the projection of the Reserve Bank of India's rate-setting panel, research firm ICRA was quoted as saying by The Economic Times.

ICRA said in its report that India's economic growth is anticipated to have eased to 7% in the second quarter, following a 7.8% growth in the first quarter. This adjustment is attributed to a normalizing base and unpredictable monsoon patterns.

“Looking ahead, uneven rainfall, narrowing differentials with year-ago commodity prices, the possible slowdown in momentum of government capex as we approach the Parliamentary Elections, weak external demand and the cumulative impact of monetary tightening are likely to translate into lower GDP growth in H2FY24,"" said Aditi Nayar, Chief Economist, Head-Research & Outreach, ICRA.

She further added, “As a result, we maintain our FY2024 GDP growth estimate at 6.0%, lower than the MPC’s projection of 6.5% for the fiscal.""

During the second quarter, investment activity in the country sustained its strength, with seven out of eleven investment-related indicators showing improved year-on-year growth compared to the first quarter, the report highlighted.

""While the YoY growth in the remaining four indicators weakened in Q2 FY2024 relative to Q1, all of them witnessed a double-digit expansion in the quarter, including the CV registrations (+13.5 per cent), cement production (+10.2 per cent), the states’ capital outlay and net lending (+33.5 per cent), and the Government of India’s (GoI’s) capex (+26.4 per cent),"" ICRA said in its note.

According to data, the Center's annual gross capital expenditure rose by 26.4% to ₹2.1 lakh crore in the second quarter, a decrease from the ₹2.8 lakh crore recorded in the first quarter.

Construction activity sustained robust momentum in the second quarter, despite below-average rainfall causing comparatively fewer disruptions than historical patterns, according to ICRA.

“With a slowdown in national highway construction, the GVA growth of this sub-sector is likely to have eased to 7.0% in Q2FY24 from 7.9% in Q1FY24,"" the note said.

ICRA More Information

Milestone Alert!Livemint tops charts as the fastest growing news website in the world 🌏 Click here to know more."
3,mint,"India lost the World Cup, but it was probably not a loss for the economy",https://www.livemint.com/opinion/online-views/india-lost-the-world-cup-but-it-was-probably-not-a-loss-for-the-economy-11700470295865.html,20 Nov 2023,,"India lost the cricket World Cup, after powering through the tournament to reach the finals unbeaten. Then it lost, leaving millions of fans heartbroken. That said, there is no gainsaying that hosting the one-day cricket tournament, which takes place once every four years, has provided a boost to the Indian economy.

The World Cup semifinals and the finals were festivals on par with Diwali. This not just in the cities that hosted the matches, Mumbai and Ahmedabad, respectively, but for most of the country, wherever audiences gathered in front of a screen, often in large gatherings at restaurants and pubs, apart from homes, on the one hand, and, on the other, the specially rigged match-watching venues with large screens, large crowds, beer to be guzzled and snacks to be munched on for the duration of the match, if not wolfed down.

Sweets were purchased in anticipation of victory celebration. Sugar sales went up, as did the sales of milk solids, nuts, dry fruit and flavouring agents that go into sweets and ice cream. Paper cartons, glossy covers to cover the cardboard also saw a surge in demand.

All tournament venues were spruced up, and given fresh coats of paint. Stadium seats that had been broken were repaired, those on which lewd declarations of love had been engraved thoroughly scrubbed clean of misplaced passion. All that generated revenue and employment for suppliers, and contractors and workers.

Business newspapers ran stories of quick service restaurants, quick commerce companies and food delivery businesses reporting record numbers of orders on match days. Match-hosting cities saw hotel room tariffs and restaurant bookings boom. Airfares to Ahmedabad for final soared. Ticket prices on the black market soared as well. Of course, higher fares do not directly create additional flights, unless people charter flights as an alternative, but the additional revenue raked in through higher prices for a finite supply of airline seats or stadium tickets leads to additional spending on the part of the recipients.

Team India jersey sales spiked throughout the tournament period. Television sales zoomed, too. Many chose this occasion to upgrade their TV sets to thinner, brighter, higher resolution models capable of showing darker blacks and truer colours. Some also upgraded to bigger TV screens. Retailers, cargo fleets, delivery agents, and technicians who visited homes for installation, demo and, if possible, to wangle an extended warranty, found additional business.

Those who provide retail finance, whether banks or non-banking finance companies, did brisk business, notwithstanding the dampener the RBI has smothered the sector with, seeking higher risk weightage and capital provisioning. The myriad agents who process loan documents saw brisk work.

Television advertisers saw hectic action. Those who managed to get time slots for broadcast during the match made commercial films, spending enough to make them high-impact affairs. Creative spirits at advertising agencies, copywriters, actors, models, make-up artistes, film crews saw demand that would not have been generated but for the World Cup and the audience attention it was guaranteed to generate.

Official sponsors advertised in multiple media to show off their sponsorship of India’s favourite sport. Those who did not get to sponsor the official tournament always dream of repeating Pepsi’s ‘nothing-official-about-it’ ambush marketing that left a greater impact on audiences than the official sponsor Coca Cola’s efforts. These efforts spill over across multiple media, benefitting all businesses that see advertising as a major source of revenue.

Telecom operators saw high data traffic as millions of people watched the matches live on television screens, tablets, computers, or phones. Many who did not have broadband connections over optical fibre secured them.

The demand for routers, optical fibre, ducts for laying them, and the services of technicians who install the routers rose. Technology services that allow streaming on the scale a World Cup audience calls for saw additional demand even from cloud storage companies and vendors of software that provide distributed caches to minimize latency of signal reception.

The popular enthusiasm generated by the game and the blitzkrieg of advertising that accompanied it, all referencing the tournament, would have led to greater interest in cricket, leading to greater sales of kit. Those who make bats, balls and gloves of different kinds saw a boost in demand.

If the intense advertising of products and services that accompanied the match broadcast has any impact on purchase decisions at all, India should see a sales bump in sectors such as automobiles, home appliances, cosmetics, apparel and fancy phones. All associated businesses should benefit.

All this augurs well for future editions of grand events, particularly cricket. Cricket training academies, talent scouts and coaches would do brisk business.

It is indeed sad India did not win the World Cup, after the 2011 victory, but the only clear losers here are those who hoped to ride a wave of nationalism that a World Cup win would have engendered, for their own partisan gain."
4,mint,Cost of Living Highlights Nov 20: 9-10% hikes may not help beat inflation,https://www.livemint.com/economy/cost-of-living-live-updates-nov-20-fuel-prices-steady-check-petrol-and-diesel-prices-in-your-city-today-11700454686422.html,20 Nov 2023,,"Cost of Living Highlights Nov 20: 9-10% salary hikes may not help beat inflation

6 min read . Updated: 20 Nov 2023, 10:28 PM IST

Cost of Living Highlights November 20: The high rate of inflation has pushed up the cost of living across the globe, burning a hole in the common man's pocket. In some relief, India's retail inflation witnessed a notable decline in September, dropping to a three-month low."
5,mint,Govt explores steps to boost affordable NBFC loans,https://www.livemint.com/companies/govt-explores-steps-to-boost-affordable-nbfc-loans-11700416942032.html,19 Nov 2023,,"NEW DELHI : The Centre is exploring options such as increasing the deposit acceptance limit for eligible non-banking finance companies (NBFCs), introducing deposit insurance and creating a specific liquidity window for NBFCs, according to two officials. The goal is to lower funding costs, enabling NBFCs to offer loans to crucial sectors such as agriculture and micro, small, and medium enterprises, at more affordable interest rates, they added.

Besides agriculture, MSMEs are a cornerstone of the Indian economy, contributing 30% to gross domestic product, 45% to manufacturing output, and 48% to exports. But agriculture and MSME sectors are facing huge credit gaps. Notably, 39% of the 63.4 million small businesses have not availed loans through any formal channel.

Consequently, the government feels there is urgent need to expand formal and affordable credit facilities via NBFCs if India has to become the third-largest economy by 2030, one of the two officials said, seeking anonymity. “Interest rates charged by NBFCs, however, are high, and may go up to 26%, depending on the nature of loans. Interest rates are high because the cost of funds for NBFCs are high compared with commercial banks. So, various proposals are under consideration to reduce costs,"" he said.

The FY25 Union budget might enhance MSMEs, aligning them with global markets, offering digital support for competitiveness, simplifying goods and services tax compliance, and ensuring access to low-cost credit, HT reported on 14 November.

Unlike commercial banks, many NBFCs can not accept low-cost deposit from the general public. Their funding sources are relatively expensive, as they typically lend after securing funds from banks and markets, or external commercial borrowings. It’s worth noting that most new NBFCs, categorized as NBFCs-ND, do not accept deposits. The registration of deposit-taking NBFCs (NBFCs-D) has been virtually frozen since 1998.

Cost of funds are soaring for NBFCs as central banks of major economies have raised interest rates to tame inflation.

Under these circumstances some proposals are under discussion to reduce the cost burden of NBFCs by diversifying their source of funding, particularly for priority sector lending, a second official said. “Deposit acceptance limit of NBFCs-D could be raised, besides deposits could be provided with an insurance cover similar to deposits in commercial bank (to minimize risks and reduce costs),"" he added.

“We might consider a dedicated liquidity window for the NBFCs for short-term liquidity requirements and may allow upper layer NBFCs to take public deposits under strict regulations. By reducing risk weight of loans under priority sector and by making all bank lending to NBFCs for on-lending to the priority sector could also reduce the borrowing cost for NBFCs,"" he said. Reserve Bank of India designates NBFCs-UL for heightened regulatory requirements. Typically, the top 10 eligible NBFCs, based on asset size, fall under the category. Currently, there are 15 NBFCs-UL.

“Allowing NBFCs to take deposits would require them to strictly observe regulatory norms such as commercial banks, which will mar the nimbleness of NBFCs and may lead to loss of inherent flexibility they currently enjoy,"" an expert said, seeking anonymity. Banks are concentrated in urban and semi-urban areas, leaving large credit gaps in remaining parts of the country, which is partly met by NBFCs, he added.

Of 63.4 million MSMEs, only 25 million have access to formal credit, official data shows. Loan disbursal to MSMEs in FY21 was over ₹9.5 trillion, up from ₹6.8 trillion a year ago, mainly due to the Aatmanirbhar Bharat Abiyan’s Emergency Credit Line Guarantee Scheme, which provided 100% credit guarantee to lenders.

BANK OF INDIA More Information

Milestone Alert!Livemint tops charts as the fastest growing news website in the world 🌏 Click here to know more."
6,mint,Paint stocks surge up to 5% on sharp decline in crude oil prices,https://www.livemint.com/market/stock-market-news/paint-stocks-surge-up-to-5-on-sharp-decline-in-crude-oil-prices-11700214184752.html,17 Nov 2023,,"Major paint stocks experienced a surge of 2–5% in today's trading session, responding to a significant decline in crude oil prices. In the previous trading session (Thursday), Brent crude futures saw a sharp correction, plummeting by 4.63% to reach $77.42 a barrel, while WTI crude futures also witnessed a notable drop of 4.91% to $72.9 a barrel.

Also Read: Oil prices drop over $3 on China's demand concerns, US crude stock; Brent crashes to $78/bbl

Both of these crucial benchmarks marked a 9.12% decline this month so far, reaching their lowest levels in four months. The substantial decrease in crude oil prices on Thursday followed a larger-than-anticipated build-up in U.S. oil inventories.

Moreover, downward pressure is also being exerted by weak economic activity indicators from the EU and China. Analysts at ICICI Securities anticipate further downside potential in the near term. Earlier this week, the International Energy Agency indicated that global oil markets won't be as tight as initially expected this quarter, as upward revisions to demand are overshadowed by upgrades to supplies.

Also Read: Centre cuts windfall tax on domestic crude sales, diesel exports

Amid this backdrop, Indigo Paints and Kansai Nerolac Paints have jumped 5% and 2% in today's trade, while Berger Paints, Akzo Nobel India, and Asian Paints rallied between 1-2.%.

Crude oil is a key component in the production of certain raw materials used in the manufacturing of paints, such as solvents and resins. When crude oil prices drop, it can lead to lower production costs for these raw materials, positively impacting the profit margins of paint companies.

The drop in crude oil prices was also a big positive factor for a country like India, which meets 86% of its oil requirements through imports.

Also Read: Nifty 50 recovers from October blow in just 10 sessions; up 3.59% in November so far

Meanwhile, for Q2FY24, paint companies delivered a decent set of numbers. Indigo Paints revenue and PAT grew by 11.5% and 25.9% YoY in Q2 to ₹271 crore and ₹26.1 crore, respectively. The operating profit rose 153 basis points YoY to 15.4%.

Following the company's Q2 performance, domestic brokerage firm Sharekhan maintained its 'buy' rating on the stock, setting a target price of ₹1,850 apiece. Motilal Oswal also retained its 'buy' call on the stock with a target price of ₹1,770 apiece.

Also Read: Five key trends in Q2 results revealed: Nuvama

Berger Paints India posted a 3.6% YoY improvement in its consolidated revenue to Rs. 2,767 crore, driven by a 10.9% YoY rise in volume. EBITDA experienced a significant 30.1% YoY growth to ₹474 crore, while the EBITDA margin expanded 350 basis points to 17.1%, led by lower input costs and an improved product mix.

It reported a consolidated net profit of ₹292 crore, an 33% improvement compared to a net profit of ₹220 crore in Q2FY23.

Despite the extended monsoon reducing the demand for premium emulsions and subduing the value growth, the company's economy segment products performed well, said domestic brokerage firm Geojit Financial Services.

Also Read: Paints sector likely to see double-digit volume growth in Q3, says Nuvama; Asian Paints, Grasim among top picks

The company’s JV, Berger Nippon Paint Automotive Coatings, sustained robust top-line growth because of an uptick in the passenger car and SUV sectors, the brokerage added.

However, the brokerage downgraded its rating on the stock to 'hold' from 'buy' with a target price of ₹643 apiece, citing heightened competition from both new and existing players. On the other hand, Kansai Nerolac and Akzo Nobel India also reported healthy numbers for Q2 FY24.

Disclaimer: The views and recommendations given in this article are those of individual analysts. These do not represent the views of Mint. We advise investors to check with certified experts before taking any investment decisions.

Milestone Alert!Livemint tops charts as the fastest growing news website in the world 🌏 Click here to know more."
7,mint,6 things that changed for the stock market overnight,https://www.livemint.com/market/stock-market-news/6-things-that-changed-for-the-stock-market-overnight-gift-nifty-us-jobless-claims-to-drop-in-crude-oil-prices-11700185022589.html,17 Nov 2023,,"The Indian stock market is expected to open on a weak note Friday tracking negative global cues. The Asian markets traded lower, while the US shares ended mixed overnight.

The mid-week rally in the markets seen on the back of rising hopes that the US Federal Reserve will not hike interest rates further and pivot to a rate cut in early 2024, seems to be waning.

Moreover, with the conclusion of the earning season, domestic investors will now shift the focus to global as well as domestic cues.

The Indian benchmark indices ended higher for the second consecutive session on Thursday amid mixed global cues.

The Sensex surged by 306.55 points, or 0.47%, to close at 65,982.48, while the Nifty 50 ended 89.75 points, or 0.46%, higher at 19,765.20.

“We expect positive momentum to continue in the market with sectoral rotation given the healthy macro data and receding global concerns. On economic data points, investors will look for Europe inflation data,"" said Siddhartha Khemka, Head - Retail Research, Motilal Oswal Financial Services.

Here are key domestic and global market cues for Sensex today:

Asian Markets

Asian markets traded lower on Friday following a weak trend on Wall Street overnight as the mid-week rally lost steam.

Japan’s Nikkei 225 fell 0.21% and the Topix eased 0.11%. South Korea’s Kospi dropped 0.55%, while the Kosdaq dipped 0.71%.

Hong Kong’s Hang Seng index futures traded lower at 17,654, compared to the HSI’s close of 17,832.82.

Gift Nifty was trading around 19,812 level as against Nifty futures’ previous close of 19,835, indicating a negative start for the Indian benchmark indices.

Also Read: Buy or sell: Vaishali Parekh recommends three stocks to buy today — November 17

Wall Street

US stock market indices ended mixed on Thursday with the S&P 500 and the Nasdaq seeing tiny gains while the Dow Industrial Average ending slightly lower pressurized by tech and retail bellwethers.

The Dow Jones Industrial Average declined 45.74 points, or 0.13%, to 34,945.47, while the S&P 500 rose 5.36 points, or 0.12%, to 4,508.24. The Nasdaq Composite ended 9.84 points, or 0.07%, higher at 14,113.67.

Among stocks, Cisco Systems shares tanked 9.8% after the company cut its full-year revenue and profit forecasts on slowing demand for its networking equipment. Palo Alto Networks shares declined 5.4%.

Walmart shares plunged 8.1% a day after touching a record high.

(Exciting news! Mint is now on WhatsApp Channels Subscribe today by clicking the link and stay updated with the latest financial insights! Click here!)

US jobless claims hit three-month high

The number of Americans filing new claims for unemployment benefits increased to a three-month high last week. Initial claims for state unemployment benefits rose 13,000 to a seasonally adjusted 231,000 for the week ended November 11, the highest since August, showed the weekly jobless claims report from the Labor Department.

Economists polled by Reuters had forecast 220,000 claims for the latest week. Claims are in the middle of their 194,000-265,000 range for this year. Unadjusted claims increased 1,713 to 215,874 last week.

Oil prices slump to 4-month low

Crude oil prices dropped around 5% on Thursday to their lowest in four months, amid worries over global oil demand following weak data from the US and Asia, Reuters reported.

Read here: Oil prices drop over $3 on China's demand concerns, US crude stock; Brent crashes to $78/bbl

Brent futures ended $3.76, or 4.6%, lower at $77.42 a barrel, while US West Texas Intermediate crude (WTI) declined $3.76, or 4.9%, to close at $72.90. Both Brent and WTI earlier traded at their lowest since July 7, at $76.60 and $72.16, respectively.

US manufacturing output falls in October

US factory production fell more than expected in October, largely led by strikes at automakers and parts suppliers.

Manufacturing output fell 0.7% last month, the most in four months, the Federal Reserve data showed. Economists polled by Reuters had forecast factory output dropping 0.3%.

Excluding autos, manufacturing rose 0.1%. Production at factories declined 1.7% on a year-on-year basis in October.

RBI tightens consumer loan norms

The Reserve Bank of India (RBI) tightened norms for personal loans and credit cards in the form of higher capital requirements. The central bank has raised the risk weights for lenders and non-bank financial companies (NBFCs), or the capital that banks need to set aside for every loan, by 25 percentage points to 125% on retail loans.

(With inputs from Reuters)

Disclaimer: The views and recommendations made above are those of individual analysts or broking companies, and not of Mint. We advise investors to check with certified experts before taking any investment decisions.

MOTILAL OSWAL FINANCIAL SERVICES More Information

Milestone Alert!Livemint tops charts as the fastest growing news website in the world 🌏 Click here to know more."
8,mint,Nifty 50 recovers from October blow in just 10 sessions; up 3.59% in November so far,https://www.livemint.com/market/stock-market-news/nifty-50-covered-the-entire-october-drop-in-last-10-sessions-up-3-59-in-nov-so-far-11700130532649.html,16 Nov 2023,,"Following the significant downturn in October, when the Nifty 50 experienced its most substantial monthly decline of 2.84% in CY23, the index displayed remarkable resilience, staging a robust comeback in November. Impressively, within the last ten trading sessions, the index recovered from all losses incurred in the previous month.

Looking at the overall performance in November, the index surged by 3.59% so far, with a substantial portion of the rally occurring in the last two trading sessions. The November gain represents the index's most impressive monthly performance since April 2023, signaling a notable shift in market dynamics and renewed investor confidence.

Also Read: Stock Market Today: Nifty 50, Sensex rise for second straight day; investors pocket nearly ₹5 lakh crore in two sessions

In the preceding trading session, the Nifty 50 exhibited a notable rally of 1.19%. In today's session, the bullish momentum persisted as it further gained 0.46%, reaching a level of 19,765.20, inching closer to the crucial 20,000 mark.

This rally was fueled by positive global and domestic cues, with notable factors including the drop in the US inflation rate to 3.2% in October. This development heightened optimism about a more measured approach by the US Federal Reserve to future rate hikes.

Also Read: RBI likely to maintain hawkish stance, keep rates unchanged in near-term

The fall in US 10-year yields to 4.5% and a substantial drop in the US Dollar Index further contributed to the market's bullish momentum. In India, October's Consumer Price Index (CPI) inflation eased to 4.87%, the lowest in four months.

Additionally, declining crude oil prices (Brent Crude), down 5.91% in October and an additional 4.56% this month, provided support to the markets. Notably, Brent crude futures plummeted 1.56% in the previous trading session on the back of larger-than-anticipated increase in U.S. crude inventories.

Also Read: Oil prices drop on record rise in US crude inventories, demand concerns; Brent at $81/bbl

Foreign institutional investors (FIIs), on the other hand, turned net buyers on Wednesday after a series of selling sessions.

Among sectoral indices, the Nifty IT index experienced a significant surge due to easing inflation concerns in the US and UK. This development instilled confidence among investors, leading to expectations of increased demand from these regions. Given that a substantial portion of IT company revenues are closely tied to the US and UK markets, this positive sentiment had a notable impact.

Over the last two trading sessions, the Nifty IT index recorded an impressive rally of 5.34%, reaching the 32,273 level, coming closer to the 52-week high level of 33,402. Remarkably, all 10 constituents of the index concluded the last sessions in positive territory.

Also Read: Nifty IT gains 2.35% on drop in US inflation; Persistent Systems hits record high

Commenting on the recent performance of the Indian market, Vinod Nair, Head of Research at Geojit Financial Services, said,"" The Indian market continued its positive resurgence, tracking global gains. Softer than expected US inflation data and easing bond yields has bought optimism that spending will emerge like in technology.""

""Taking the cues further, IT stocks have shown a significant jump in the broader market. The market is sensing that export-based sectors like IT and pharma could be future winners. While cut in inflation will also benefits domestic placed staples and consumer sector,"" he added.

Disclaimer: The views and recommendations given in this article are those of individual analysts. These do not represent the views of Mint. We advise investors to check with certified experts before taking any investment decisions.

Milestone Alert!Livemint tops charts as the fastest growing news website in the world 🌏 Click here to know more."
9,mint,Indian economy to grow 6.7.1% during 2024-2026: S&P,https://www.livemint.com/economy/indias-gdp-to-grow-6-7-1-during-2024-2026-global-headwinds-sp-11700131697777.html,16 Nov 2023,,"India's economic growth prospects should remain strong over the medium term, with GDP expanding 6-7.1 per cent annually in fiscal years 2024-2026, S&P Global Ratings said on Thursday.

In a report titled 'Global Banks Country-By-Country Outlook 2024', S&P said the banking sector's weak loans will decline to 3-3.5 per cent of gross advances by March 31, 2025, on the back of structural improvement, including healthy corporate balance sheets, tighter underwriting standards and improved risk-management practices.

Interest rates in India are unlikely to rise materially, and this should limit the risk for the banking industry, it added.

""Unsecured personal loans have grown rapidly and could contribute to incremental NPLs. We believe underwriting standards for retail loans generally remain healthy and overall level of delinquencies remains within acceptable limits for this product category,"" S&P Primary Credit Analyst Deepali Seth Chhabria said.

The report said that global uncertainties will have a lesser impact on the Indian economy.

Slower global growth and external demand will weigh on economic activity and could fuel further inflation. However, given that India is domestically oriented, the agency expects the economic growth to be less affected, it added.

""Economic growth momentum to continue. India's economic growth prospects should remain strong over the medium term, with GDP expanding 6-7.1 per cent annually in fiscal years 2024-2026,"" S&P said.

India's real GDP rose 7.8 per cent year-on-year in the June quarter, up from 6.1 per cent in the March quarter.

The Reserve Bank of India has forecast a 6.5 per cent economic growth for the 2023-24 and 2024-25 fiscal years.

The report further said that the State Bank of India and the leading private-sector banks have largely addressed their asset-quality challenges.

Many public-sector banks still carry relatively high volumes of weak assets, which will result in higher credit losses and hit profitability; their performance lags that of the industry.

Milestone Alert!Livemint tops charts as the fastest growing news website in the world 🌏 Click here to know more."
